v / cm-1	unc / cm-1	State'	v'	J'	p'	State''	v''	J''	p''	Tag		
21892.64	0.03	A1Pi	3	5	f	X1Sigma+	3	5	e	67JoGrPo.190		
21868.39	0.06	A1Pi	3	6	f	X1Sigma+	3	6	e	67JoGrPo.191	Uncertainty used is doubled as it is a diffuse line.	
21838.72	0.06	A1Pi	3	7	f	X1Sigma+	3	7	e	67JoGrPo.192	Uncertainty used is doubled as it is a diffuse line.	
25112.363	0.03	A1Pi	1	1	e	X1Sigma+	0	2	e	67JoGrPo.193		
25086.29	0.03	A1Pi	1	2	e	X1Sigma+	0	3	e	67JoGrPo.194		
25059.02	0.03	A1Pi	1	3	e	X1Sigma+	0	4	e	67JoGrPo.195		
25030.541	0.03	A1Pi	1	4	e	X1Sigma+	0	5	e	67JoGrPo.196		
25000.855	0.03	A1Pi	1	5	e	X1Sigma+	0	6	e	67JoGrPo.197		
24969.918	0.03	A1Pi	1	6	e	X1Sigma+	0	7	e	67JoGrPo.198		
24937.748	0.03	A1Pi	1	7	e	X1Sigma+	0	8	e	67JoGrPo.199		
24904.249	0.03	A1Pi	1	8	e	X1Sigma+	0	9	e	67JoGrPo.200		
24869.407	0.03	A1Pi	1	9	e	X1Sigma+	0	10	e	67JoGrPo.201		
25183.215	0.03	A1Pi	1	1	e	X1Sigma+	0	0	e	67JoGrPo.202		
25204.279	0.03	A1Pi	1	2	e	X1Sigma+	0	1	e	67JoGrPo.203		
25223.986	0.03	A1Pi	1	3	e	X1Sigma+	0	2	e	67JoGrPo.204		
25242.298	0.03	A1Pi	1	4	e	X1Sigma+	0	3	e	67JoGrPo.205		
25259.136	0.03	A1Pi	1	5	e	X1Sigma+	0	4	e	67JoGrPo.206		
25274.415	0.03	A1Pi	1	6	e	X1Sigma+	0	5	e	67JoGrPo.207		
25288.062	0.03	A1Pi	1	7	e	X1Sigma+	0	6	e	67JoGrPo.208		
25299.964	0.03	A1Pi	1	8	e	X1Sigma+	0	7	e	67JoGrPo.209		
25310.023	0.03	A1Pi	1	9	e	X1Sigma+	0	8	e	67JoGrPo.210		
25318.098	0.03	A1Pi	1	10	e	X1Sigma+	0	9	e	67JoGrPo.211		
25324.034	0.03	A1Pi	1	11	e	X1Sigma+	0	10	e	67JoGrPo.212		
25327.69	0.03	A1Pi	1	12	e	X1Sigma+	0	11	e	67JoGrPo.213		
25328.866	0.03	A1Pi	1	13	e	X1Sigma+	0	12	e	67JoGrPo.214		
25327.377	0.03	A1Pi	1	14	e	X1Sigma+	0	13	e	67JoGrPo.215		
25159.514	0.03	A1Pi	1	1	f	X1Sigma+	0	1	e	67JoGrPo.216		
25156.846	0.03	A1Pi	1	2	f	X1Sigma+	0	2	e	67JoGrPo.217		
25152.814	0.03	A1Pi	1	3	f	X1Sigma+	0	3	e	67JoGrPo.218		
25147.405	0.03	A1Pi	1	4	f	X1Sigma+	0	4	e	67JoGrPo.219		
25140.566	0.03	A1Pi	1	5	f	X1Sigma+	0	5	e	67JoGrPo.220		
25132.261	0.03	A1Pi	1	6	f	X1Sigma+	0	6	e	67JoGrPo.221		
25122.431	0.03	A1Pi	1	7	f	X1Sigma+	0	7	e	67JoGrPo.222		
25111.01	0.03	A1Pi	1	8	f	X1Sigma+	0	8	e	67JoGrPo.223		
25097.91	0.03	A1Pi	1	9	f	X1Sigma+	0	9	e	67JoGrPo.224		
25083.029	0.03	A1Pi	1	10	f	X1Sigma+	0	10	e	67JoGrPo.225		
25066.274	0.03	A1Pi	1	11	f	X1Sigma+	0	11	e	67JoGrPo.226		
25047.48	0.03	A1Pi	1	12	f	X1Sigma+	0	12	e	67JoGrPo.227		
25026.535	0.03	A1Pi	1	13	f	X1Sigma+	0	13	e	67JoGrPo.228		
25003.203	0.03	A1Pi	1	14	f	X1Sigma+	0	14	e	67JoGrPo.229		
24977.309	0.03	A1Pi	1	15	f	X1Sigma+	0	15	e	67JoGrPo.230		
24948.589	0.03	A1Pi	1	16	f	X1Sigma+	0	16	e	67JoGrPo.231		
24675.089	0.03	A1Pi	2	1	e	X1Sigma+	1	2	e	67JoGrPo.232		
24647.723	0.03	A1Pi	2	2	e	X1Sigma+	1	3	e	67JoGrPo.233		
24618.071	0.03	A1Pi	2	3	e	X1Sigma+	1	4	e	67JoGrPo.234		
24586.09	0.03	A1Pi	2	4	e	X1Sigma+	1	5	e	67JoGrPo.235		
24551.724	0.03	A1Pi	2	5	e	X1Sigma+	1	6	e	67JoGrPo.236		
24514.915	0.03	A1Pi	2	6	e	X1Sigma+	1	7	e	67JoGrPo.237		
24475.533	0.03	A1Pi	2	7	e	X1Sigma+	1	8	e	67JoGrPo.238		
24433.456	0.03	A1Pi	2	8	e	X1Sigma+	1	9	e	67JoGrPo.239		
24388.499	0.03	A1Pi	2	9	e	X1Sigma+	1	10	e	67JoGrPo.240		
24340.572	0.03	A1Pi	2	10	e	X1Sigma+	1	11	e	67JoGrPo.241		
24289.182	0.03	A1Pi	2	11	e	X1Sigma+	1	12	e	67JoGrPo.242		
24234.105	0.03	A1Pi	2	12	e	X1Sigma+	1	13	e	67JoGrPo.243		
24743.463	0.03	A1Pi	2	1	e	X1Sigma+	1	0	e	67JoGrPo.244		
24761.587	0.03	A1Pi	2	2	e	X1Sigma+	1	1	e	67JoGrPo.245		
24777.274	0.03	A1Pi	2	3	e	X1Sigma+	1	2	e	67JoGrPo.246		
24790.435	0.03	A1Pi	2	4	e	X1Sigma+	1	3	e	67JoGrPo.247		
24800.953	0.03	A1Pi	2	5	e	X1Sigma+	1	4	e	67JoGrPo.248		
24808.685	0.03	A1Pi	2	6	e	X1Sigma+	1	5	e	67JoGrPo.249		
24813.536	0.03	A1Pi	2	7	e	X1Sigma+	1	6	e	67JoGrPo.250		
24815.215	0.03	A1Pi	2	8	e	X1Sigma+	1	7	e	67JoGrPo.251		
24813.536	0.03	A1Pi	2	9	e	X1Sigma+	1	8	e	67JoGrPo.252		
24808.32	0.03	A1Pi	2	10	e	X1Sigma+	1	9	e	67JoGrPo.253		
24799.129	0.03	A1Pi	2	11	e	X1Sigma+	1	10	e	67JoGrPo.254		
24785.647	0.03	A1Pi	2	12	e	X1Sigma+	1	11	e	67JoGrPo.255		
24767.372	0.03	A1Pi	2	13	e	X1Sigma+	1	12	e	67JoGrPo.256		
24720.598	0.03	A1Pi	2	1	f	X1Sigma+	1	1	e	67JoGrPo.257		
24715.823	0.03	A1Pi	2	2	f	X1Sigma+	1	2	e	67JoGrPo.258		
24708.604	0.03	A1Pi	2	3	f	X1Sigma+	1	3	e	67JoGrPo.259		
24698.894	0.03	A1Pi	2	4	f	X1Sigma+	1	4	e	67JoGrPo.260		
24686.598	0.03	A1Pi	2	5	f	X1Sigma+	1	5	e	67JoGrPo.261		
24671.628	0.03	A1Pi	2	6	f	X1Sigma+	1	6	e	67JoGrPo.262		
24653.852	0.03	A1Pi	2	7	f	X1Sigma+	1	7	e	67JoGrPo.263		
24633.105	0.03	A1Pi	2	8	f	X1Sigma+	1	8	e	67JoGrPo.264		
24609.203	0.03	A1Pi	2	9	f	X1Sigma+	1	9	e	67JoGrPo.265		
24581.905	0.03	A1Pi	2	10	f	X1Sigma+	1	10	e	67JoGrPo.266		
24550.939	0.03	A1Pi	2	11	f	X1Sigma+	1	11	e	67JoGrPo.267		
24515.923	0.03	A1Pi	2	12	f	X1Sigma+	1	12	e	67JoGrPo.268		
24476.471	0.03	A1Pi	2	13	f	X1Sigma+	1	13	e	67JoGrPo.269		
23981.98	0.03	A1Pi	3	1	e	X1Sigma+	2	2	e	67JoGrPo.270		
23951.19	0.03	A1Pi	3	2	e	X1Sigma+	2	3	e	67JoGrPo.271		
23916.01	0.03	A1Pi	3	3	e	X1Sigma+	2	4	e	67JoGrPo.272		
23875.75	0.03	A1Pi	3	4	e	X1Sigma+	2	5	e	67JoGrPo.273		
24047.96	0.03	A1Pi	3	1	e	X1Sigma+	2	0	e	67JoGrPo.274		
24060.99	0.03	A1Pi	3	2	e	X1Sigma+	2	1	e	67JoGrPo.275		
24069.42	0.03	A1Pi	3	3	e	X1Sigma+	2	2	e	67JoGrPo.276		
24072.92	0.03	A1Pi	3	4	e	X1Sigma+	2	3	e	67JoGrPo.277		
24071.75	0.03	A1Pi	3	5	e	X1Sigma+	2	4	e	67JoGrPo.278		
24063.85	0.06	A1Pi	3	6	e	X1Sigma+	2	5	e	67JoGrPo.279	Uncertainty used is doubled as it is a diffuse line.	
24025.91	0.03	A1Pi	3	1	f	X1Sigma+	2	1	e	67JoGrPo.280		
24016.90	0.03	A1Pi	3	2	f	X1Sigma+	2	2	e	67JoGrPo.281		
24003.27	0.03	A1Pi	3	3	f	X1Sigma+	2	3	e	67JoGrPo.282		
23984.76	0.03	A1Pi	3	4	f	X1Sigma+	2	4	e	67JoGrPo.283		
23961.17	0.03	A1Pi	3	5	f	X1Sigma+	2	5	e	67JoGrPo.284		
23931.92	0.06	A1Pi	3	6	f	X1Sigma+	2	6	e	67JoGrPo.285	Uncertainty used is doubled as it is a diffuse line.	
26941.64	0.2	A1Pi	2	1	e	X1Sigma+	0	2	e	01ClKoZhGr.001		
26912.06	0.2	A1Pi	2	2	e	X1Sigma+	0	3	e	01ClKoZhGr.002		
26878.92	0.2	A1Pi	2	3	e	X1Sigma+	0	4	e	01ClKoZhGr.003		
27012.55	0.2	A1Pi	2	1	e	X1Sigma+	0	0	e	01ClKoZhGr.004		
27029.92	0.2	A1Pi	2	2	e	X1Sigma+	0	1	e	01ClKoZhGr.005		
27044.12	0.2	A1Pi	2	3	e	X1Sigma+	0	2	e	01ClKoZhGr.006		
27054.81	0.2	A1Pi	2	4	e	X1Sigma+	0	3	e	01ClKoZhGr.007		
27061.98	0.2	A1Pi	2	5	e	X1Sigma+	0	4	e	01ClKoZhGr.008		
27065.50	0.2	A1Pi	2	6	e	X1Sigma+	0	5	e	01ClKoZhGr.009		
27065.36	0.2	A1Pi	2	7	e	X1Sigma+	0	6	e	01ClKoZhGr.010		
27061.38	0.2	A1Pi	2	8	e	X1Sigma+	0	7	e	01ClKoZhGr.011		
27053.19	0.2	A1Pi	2	9	e	X1Sigma+	0	8	e	01ClKoZhGr.012		
26989.06	0.2	A1Pi	2	1	f	X1Sigma+	0	1	e	01ClKoZhGr.013		
26982.67	0.2	A1Pi	2	2	f	X1Sigma+	0	2	e	01ClKoZhGr.014		
26972.75	0.2	A1Pi	2	3	f	X1Sigma+	0	3	e	01ClKoZhGr.015		
26959.67	0.2	A1Pi	2	4	f	X1Sigma+	0	4	e	01ClKoZhGr.016		
26943.24	0.2	A1Pi	2	5	f	X1Sigma+	0	5	e	01ClKoZhGr.017		
26923.50	0.2	A1Pi	2	6	f	X1Sigma+	0	6	e	01ClKoZhGr.018		
26900.05	0.2	A1Pi	2	7	f	X1Sigma+	0	7	e	01ClKoZhGr.019		
26872.41	0.2	A1Pi	2	8	f	X1Sigma+	0	8	e	01ClKoZhGr.020		
